Nome,Telefone
John Doe,123-456-7890
Jane Smith,098-765-4321
Carlos Silva,987-654-3210
Maria Souza,654-321-0987
Alice Silva,(11) 91234-5678
Bruno Costa,(21) 92345-6789
Carla Mendes,(31) 93456-7890
Daniel Oliveira,(41) 94567-8901
Eduarda Lima,(51) 95678-9012
Fábio Pereira,(61) 96789-0123
Gabriela Santos,(71) 97890-1234
Henrique Almeida,(81) 98901-2345
Isabela Rocha,(91) 99012-3456
João Souza,(11) 90123-4567
Juliana Ferreira,(21) 91234-5678
Lucas Cardoso,(31) 92345-6789
Mariana Almeida,(41) 93456-7890
Nicolas Martins,(51) 94567-8901
Olívia Santos,(61) 95678-9012
Paulo Henrique,(71) 96789-0123
